Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      ND18      ND19      ND20      Egz.
Vardas270             Pavarde270                      1         9         4         9         4         4         6         9         9         5         2         9         9         2         1         3         9         5         6        10         9
Vardas271             Pavarde271                      7         6         2         5         2        10         7         9         1         5         1         8         8         1        10         6         7         1         1         6         1
Vardas272             Pavarde272                      2         5         8         4         5        10         9         1         3         7         3         8         2         6         2         1         5         1         6         1         1
Vardas273             Pavarde273                      5         9         7         3        10         2        10         2         5         3         4         1         2         4        10         5         5         2         9         4         9
Vardas274             Pavarde274                      5         1         9         3         6         3         1         8         7         6         1         2         3         3         8         8         6         6         1         2         8
Vardas275             Pavarde275                      7         1        10         8         7         2         4         7         8         3         4         5         1         8         6         2        10         8         3        10         5
Vardas276             Pavarde276                     10         5         7        10         5         4         8         4         6         5         9         7         8         7         2        10         1         5         7         9         5
Vardas277             Pavarde277                      8         2         8         8        10        10         5        10         5         9         1         2         1         8         2         2        10         3         6         9         5
Vardas278             Pavarde278                      3         4         4         6         1         6         6         9         6         6         3         8         3         3         1         1        10         8         7         6        10
Vardas279             Pavarde279                      4         7         1         2         4         3        10         2         7         7         6         1         5         7         4         4         7        10         2         1         7
Vardas280             Pavarde280                      9         2         1         4         3         4         2         6         1         8         1         1         5         2         5         2         2         4         1         8         9
Vardas281             Pavarde281                      3        10         1        10        10         1         7         6         7         2         1         4         7         7         5         8         6         5         4         7         7
Vardas282             Pavarde282                      6        10         9         7         4         8         7         2         3        10         4         5         5         2         4         3         8         2         8         8         1
Vardas283             Pavarde283                     10         4         3         2         5         3         7         6         9        10         5         5         3         5         9         2         7         7         5         8         9
Vardas284             Pavarde284                     10         4         3         2         1         6        10         9         4         4         3         8         2         3         8         3         8         5         3         3         4
Vardas285             Pavarde285                      5         6         5         1         6         9         6         4         3         3         5         3         9         8         9         2         8         7         1         7         5
Vardas286             Pavarde286                      4         1         8         5         3        10        10         3         8         9         7         5         3        10         4         7         9         9         9        10         9
Vardas287             Pavarde287                      2         9         3         3        10         9         9         3         2         5        10         1         9         8         7         7         8         7         8         9         9
Vardas288             Pavarde288                      6         9         3         8         4         5         6         5         1         3         8         8        10        10         3         5         1         5         8         7         4
Vardas289             Pavarde289                      7         7         7         2         8        10         6        10         1         1         5         2         4         8         3         5         3         8         6         3         4
Vardas290             Pavarde290                      3         3         6         6         6         5         2         5         3         4         3         4         8         7         3         7         5         9         4         1         8
Vardas291             Pavarde291                      9         2         1         5         8         1         7        10         9         6         5         8         6         5         9         3         2         5        10         7         4
Vardas292             Pavarde292                      1        10         6         8         5         7         2         2         7         1         1         1        10         2         8         8         8         7        10        10         4
Vardas293             Pavarde293                      1         8         8         3         5         9         6         2         2         1        10         8         1         3         4         1         4         9         1        10         3
Vardas294             Pavarde294                      8         1         3         8         5        10         1        10         7         2         6         5        10         4         4         4         9         7         3         6         2
Vardas295             Pavarde295                      3         7         8         4         5         2         2         6         4         2         4         6         7         1         9         5         4         9         2        10         8
Vardas296             Pavarde296                      9         5         4         4         6        10         4         2         3         8         6         9         6         5         8         6         3         5         6         4         9
Vardas297             Pavarde297                      5         7         9        10         8         2         7         2         2         1         5         7         1         8         1         3         5         3         8         9         8
Vardas298             Pavarde298                      6         1         4         8         9        10         2         2        10         8         7         1         9         8        10         5         7         8         7         3         2
Vardas299             Pavarde299                      2         5         3         9         6         1         4         3         8        10         7        10         1         7         3         4         2         8         8         6         6
Vardas300             Pavarde300                      3        10         4         1         5         7         7         6         7         9         5         1         9        10         4         7         8         6         1         5         8
Vardas301             Pavarde301                      7         7         7         5         4         3         7         4         5         2         5         6         8        10         6         6         7         8         3         2        10
Vardas302             Pavarde302                      9         9         6        10         7        10         2         8         7         7         1         2         2         9         3         1         6         6         8         4         5
Vardas303             Pavarde303                      7         7         1         7         9         1         5         8         7         9         2         3         9         9         5         6         5         5         4         1         9
Vardas304             Pavarde304                      1         4         9         8         8         4         2         7         8         2         1         7        10         3         2         2         7         1         8         9         3
Vardas305             Pavarde305                      5         7         4         6         3         9         7         2         9         6         9         4         4         1         1        10         3         5         6        10         2
Vardas306             Pavarde306                      8         3         5         7         9         1        10         1         4         1         1         4         1         5         4         2         5         8         1         3         4
Vardas307             Pavarde307                      3         3         8         9         2         7         4         7         5         1         1         3         3         9        10         5         3         9         2         9        10
Vardas308             Pavarde308                      2        10         1         2         6         6         4        10         9         8         7         3         4         1         6         1         9         5         8        10         1
Vardas309             Pavarde309                     10        10         2         2         6        10        10         1         6         3         6         5         7         3         7         1         7         2         5         2         4
Vardas310             Pavarde310                      3        10         2         8         2         2         1         9         3         4         8         7         3         1         3         7         3         2         1         2         3
Vardas311             Pavarde311                     10         3         7         2         6         8         7         3         9         2         8         1         1        10         8         9         8         1         9         6         3
Vardas312             Pavarde312                      1         5         1         4         5         8        10         3         6         8         7         8         3         2         5         2         7         7         2         9         4
Vardas313             Pavarde313                      4         3         5         1         3        10         5         9         1         6         9         9         6         9         7         7         2         3         2         9         2
Vardas314             Pavarde314                      4         7         9         8         9         8         7         1         1         9         4         5        10         1         9         5         8        10         3         4         6
Vardas315             Pavarde315                      8         2         2         7         7         8         4         5         7         9         2         4         5         8         9        10         7         8         5         9         7
Vardas316             Pavarde316                      5         2         4         2         3         7         3         2         5        10         8         8         3         3         9         3         1         6         1         2         9
Vardas317             Pavarde317                      5         2        10         2         9         6         3         3         7         1         4         9         6         1        10         6         2         2         2         9         8
Vardas318             Pavarde318                      4         3         5         2         6         4         5         7         1         3         4         7         5         7         9         8         2         6        10         9        10
Vardas319             Pavarde319                      3         7         2         9         1        10         1         8        10         3         9        10         2         5         1         7         9         3         2        10         9
Vardas320             Pavarde320                      8         4         1         7         8         3         7         6         9         7         6         9         6         3         7         5         7         1         5         3         5
Vardas321             Pavarde321                      6         8         3         1         7         4        10        10        10         3         4         5         2        10         6         3         5         8         1         1        10
Vardas322             Pavarde322                      6         7         4        10         9         7         4         6         8         6         5         1         9         6         2         6         1         8        10         8         1
Vardas323             Pavarde323                      7         8         8        10        10         3         7         1         7         8         7         4         4         8         3         7         9         8         1         9         9
Vardas324             Pavarde324                      6         2         8         6         5         6         4         9         9         9        10         8         8         1         8         4         7        10         9         5         5
Vardas325             Pavarde325                      8         4         7         3         5         9        10         5         6         5         9         9         8         6         2         2         4         4         9         2         5
Vardas326             Pavarde326                      4         2         3         5         4         1         7         9         3         9         4         5         2         8         7         1         2         7         8        10         6
Vardas327             Pavarde327                      5         4         1         3         8        10         3         8         6         5         5         9         8         8         9         5         3         2         7         7         2
Vardas328             Pavarde328                      6         1         1         3        10         9         8         7         5         6         9         4         8         1        10         6         6         6         6         7         8
Vardas329             Pavarde329                     10         5         1        10         1         8         7         7         4         1         7         4         8         2         2         2        10         3        10         8        10
Vardas330             Pavarde330                      7         4         6         8         4         1         9         1         8         8         9         9         9         1         5         7         7         1         1         7         1
Vardas331             Pavarde331                      5         2        10         7         7         2         4         2        10         1         6         9         6        10         2         6         2         2         2         3         9
Vardas332             Pavarde332                      9         1         9         9         6         8         1         6         3         3         5         9         7         3         8         5         6        10         7        10         8
Vardas333             Pavarde333                      2         8         1         9         9         6         5         1         4         5         4         2         5        10         9         5         4        10        10         6         5
Vardas334             Pavarde334                      9        10         9         8         8         6         1         4         6         4         5         7         7         7         4         7         5         1        10         1         5
Vardas335             Pavarde335                      8        10         3         7        10         8         2         7         2         8         6         4         2         9         7         8         2         7         9         7         4
Vardas336             Pavarde336                      3         8         3        10         6         2         7         3         7         8         1         7        10         6         8         7         8        10         6        10         7
Vardas337             Pavarde337                      1         9         1         4         2         2         7         4         2         1         6         3         5         4         9         4         5         9         5         4         7
Vardas338             Pavarde338                      8         5         5         2         6         2         6         3         9         6         2         6         1         3         8         1         9         4         6         4        10
Vardas339             Pavarde339                      2         9        10         7         9         1         6         8         2         2         3         6         8         8         4         5         8         4         8         9         8
Vardas340             Pavarde340                      4        10         2         6         2         7        10         6         7        10         1         3         9         5         3         6         3         8         6         2         2
Vardas341             Pavarde341                      1        10         5         9        10         6         8        10         5         1        10         6        10         6        10         1         2         1         9         1         4
Vardas342             Pavarde342                      5         9         4        10         5         4         1         8         1         2         3        10         7         6         6         9         8         1        10         5         9
Vardas343             Pavarde343                     10         1         1         1         3         6         5         2         3         3         9         6         3        10        10         6         7         9         3         1         9
Vardas344             Pavarde344                      4         1         2         5        10         3         2         5         2        10         1         7        10         1         7         3         2         9         9         4         5
Vardas345             Pavarde345                      3         5         4         1         8         2         1        10         5         3         9         8         1         9         1         2         1         9         2         1         9
Vardas346             Pavarde346                      3        10         9         3         1         1         6         2         8         8         5         4         2         7         7         1         9         4        10         6         5
Vardas347             Pavarde347                      2         7         6         2         9         2         1         5         9         6         1         2         6         7         6         1        10         4         1         6         9
Vardas348             Pavarde348                      2        10        10         3         5         8         3         1        10        10         7         9         7         7        10         5         8         3         9        10        10
Vardas349             Pavarde349                      2         6         6         6         3         5         7         1         3         6         2         5         5         8         3         7         9         2        10         3         4
Vardas350             Pavarde350                      2         2         6         7         5         3         7         9         3         3         5         2        10         3         7         8         2         6         7         4         2
Vardas351             Pavarde351                      1         4         3         3         1        10         9        10         4        10         9         3         9         9         7         4         2         7         8         4         9
Vardas352             Pavarde352                      1         7         6         6         7         4         1         7         9         2         6         9         1         5         6         4         9         3         5         3         7
Vardas353             Pavarde353                      1         6         5        10         6         3         7         6         8         5         4         4         1         7         1         2         4         5         2         4         4
Vardas354             Pavarde354                      7         6        10         5         8         9         6         8         2        10         2         6         7         7         8         9         5         6         4         5         5
Vardas355             Pavarde355                      7        10         5         8         3         6         3         1         7        10         1         4         1        10         6         1        10         7         1         6         1
Vardas356             Pavarde356                      8         3         3         3         4         2         9         1         6         4         9         3         7         4         6         7         2         1         3         4         4
Vardas357             Pavarde357                      4         1         8         4         4         1         5         7         2         1        10         3         2         5        10         9         3        10         6         4         8
Vardas358             Pavarde358                      1         6         5         3         2        10         2        10         8         2         1         1         8         9         4         7        10         4         8         7         3
Vardas359             Pavarde359                      5        10         6         7         8         4         4         2         3         8         1         4         5         1        10         9         8         1         2        10         9
Vardas360             Pavarde360                      8        10         6        10         9         4         9         8         1         5         1         8         3        10         1         3         5        10         1         9         5
Vardas361             Pavarde361                      7         8         3         5        10         1         8         2         2         9         7         8         5         7         1         2         4         1         8         4         3
Vardas362             Pavarde362                      9         7         9         6         1         6         2         8         1         6         9         2         8         5        10         4         5        10         3         7         9
Vardas363             Pavarde363                      9         1        10         3         9        10         1         5         4         7         7         7         2         9         7         4         5         3         4         5        10
Vardas364             Pavarde364                      5         7        10         3         7         1         9         1         9         8         1         2        10        10         1         9         2         2         6         4         2
Vardas365             Pavarde365                      7         1         7         5         2         9         4         4         7         7         5         7         7         2         6         3         9         1        10         6         9
Vardas366             Pavarde366                      5         4         6         9         8         1         8         8         6         7         4         1         3         4         5         4         3         8        10         9         9
Vardas367             Pavarde367                      9         4        10         3         8         6         5         8         2         9         7         9         6         9         6         6         7         9        10         7         8
Vardas368             Pavarde368                      6         5        10         4         2         8         6         6         8         3        10         2         6         2         1         8         9         6         9         3        10
Vardas369             Pavarde369                      9         8        10         3         4         6         4         8         8         5         6        10         4         7         6        10         8         7         1         8         2
Vardas370             Pavarde370                      5         7         6         5         7         8         8         2         6         6         1         3         4         4         5         1        10         4         7         5         4
Vardas371             Pavarde371                      8         6         3         1         1         7         1         6         1         2         9         3         6         6        10         9         5         8         1         7         1
Vardas372             Pavarde372                      3         7        10         5         2         3         1        10         7         9         6         1         8         2         2         1         1         5         5         6         7
Vardas373             Pavarde373                      8         4         4         8         9         4         8         4         7         1         4         6         9         6        10         2         3        10         1         1         5
Vardas374             Pavarde374                     10         7         1         8         1        10         8         5         8         8         2         2         1         2         5         5         4         7         6         6        10
Vardas375             Pavarde375                      7         7         2         9         2         9         4         3        10         6        10         2         4         5         6         2         6         3         8         7         6
Vardas376             Pavarde376                      9         8         1         5         6         5        10         6         1         1         4         9         8         7         3         6         3         7         4         1         6
Vardas377             Pavarde377                     10         8         5         2         8         4         4         9         9         4         7         7         1         4         9         1         4         8         3         8         2
Vardas378             Pavarde378                      7         5         5         7         3         1        10         2         6        10         4         8         3         1         4        10         1         4         7         3         1
Vardas379             Pavarde379                      4         3         6         2         8         5         1         7         5         7         6         5         9        10         3         4         6         9         3         5         2
Vardas380             Pavarde380                      2         7         1         1         8         6         6         8        10        10         3         5         2         7        10         6         6         3         7         9         9
Vardas381             Pavarde381                      6         3         5         2         3        10         1         5         4         3         6         5         3         6         6         2         6         2         9         4         3
Vardas382             Pavarde382                      2         7         3         9         1         8         3         8         2         7         7         1         8         7         9         2         3         1         1         5         5
Vardas383             Pavarde383                      6         2         7         3        10         6         9         4         9         6         4         9        10        10         1         3        10         2         8         2         8
Vardas384             Pavarde384                      8         8         4         5         5         2         4         4         6         6        10         7         5         7         5         4         9        10         3         5         3
Vardas385             Pavarde385                      4         2         7         3         4         7         9         8         9         7         7         6         3         6         7         7         2         1         7         5         4
Vardas386             Pavarde386                      6         2         8         5        10         3         8         6         6        10         8         7         6         3         6         2         5         5         8         3         4
Vardas387             Pavarde387                      2         3         5        10         3         7         8         2         9         8        10         8         8         5         9         7         4         6         5         8        10
Vardas388             Pavarde388                      9         7         8         8         9         9         3         6         3         7        10         3         3         6        10         2         9         9         7         3         1
Vardas389             Pavarde389                      7         2         4         2         8         9         5         6         1         7         9         7         1         8         7         3         2         2         2         4         1
Vardas390             Pavarde390                      2        10         8         4         3         8         7         7         7         2         2        10         3         5         1         1         9         4         5         9         8
Vardas391             Pavarde391                      2        10         3         4         2         8         3         6         2         5         4         8         1        10         6         4         1         6         5         3         5
Vardas392             Pavarde392                      3         3         7        10         7         3         6         1         8         2         3         4         4         5         1         1         4        10         3         9         5
Vardas393             Pavarde393                      9         6         1         5         9         1        10         1         5         5         6        10         5         7         8        10         9         4         2         2         9
Vardas394             Pavarde394                      7         5         9         2        10         3         7         9         1         9        10        10         1         1         1         1         5         3         8         7         4
Vardas395             Pavarde395                      8         5         5        10         2         8         9         9         7         4        10         7         2         7         2         6         1        10        10         1         6
Vardas396             Pavarde396                      1         8         9        10         8         3         3         6         7         6         3         1         5         5         4         6         9         2        10         8         4
Vardas397             Pavarde397                      4         4         4         2         1         2         6         2         8         6         8         9         1         4         3         3         7         9        10         8         6
Vardas398             Pavarde398                      6        10         8         6         4         4         2         4         8         6         4         6         3         6        10         7         8         3         6         9         5
Vardas399             Pavarde399                      7         6         6         3         5         1        10         7         4        10        10        10         4         8         1         6         4         1         2         4         6
Vardas400             Pavarde400                      5         2         1        10         5         1         7         2         3        10         2        10         7         2         1         3         2         9         8         7         3
Vardas401             Pavarde401                      4         8         3         2         1         9         7         7         9        10         8         2         4         6        10        10         2         3         9         4         4
Vardas402             Pavarde402                     10         3         6        10         6         1         1        10        10         7         3         4         4         5         4         3         5         5         5         8         5
Vardas403             Pavarde403                      5         8         6         1         7         4         5         2         1        10         6         6         7         3         3         7        10         4         8         9         7
Vardas404             Pavarde404                      1         9         4         5         4         5         7        10         9         1         5         2         1         6         6         4         8         1        10         1         2
Vardas405             Pavarde405                      1         5         6         4        10         9         4         2         2         3         4         8         1        10         6         9         5         8         2         5         5
Vardas406             Pavarde406                      9         9         7         1         7         2         1         4         3         7         3         2         4         5         5         5         4         6         9         7         6
Vardas407             Pavarde407                      5         8         6        10         3         9         7         6         6         8        10         3         1         7         4         9         1         7         5         5        10
Vardas408             Pavarde408                      2        10         8         8         9         8         6         5         7         6         9         7         4         7        10         4         9         1         5         2         2
Vardas409             Pavarde409                      4         2         5         3         5         2         7         3        10         4         6         3         2         9         7         6         2         8         9         9         9
Vardas410             Pavarde410                      8         9         1        10         4         6         4         9         6         6         1        10         5        10         9         5         5         2         6         9         1
Vardas411             Pavarde411                      1         3         2         1         4         4         8         7         6         7         3        10         8         2         2         9        10         1         7         5         5
Vardas412             Pavarde412                      4         3         5         5         8         9         1        10         6         5         1         1         7         4         5         7        10         2         4         3         3
Vardas413             Pavarde413                     10         6         9         5         8         9         3         5         1         9         3         6         8         9         1         8         2         4         4         5         6
Vardas414             Pavarde414                      6         9         9         3        10         9         9         7         4         3         9         1         4         9         1         6         2         6         6         8         8
Vardas415             Pavarde415                      8         4         4         9         8         6         2         4         5         8        10         4         5         8         9         5        10         3         7         9         4
Vardas416             Pavarde416                      2         2         1        10         5         8        10         2         1         8         4         7         9        10         2         5         9         8         7         9         4
Vardas417             Pavarde417                      8         8         9         5         6         7         9         9         2         1         5         8         2         6        10        10         1         7         9         3         5
Vardas418             Pavarde418                      4         7         6         1         5         4         6         5         2         5         2         3         4         2         7         3         4         2         9         1         1
Vardas419             Pavarde419                     10         5         1         5        10         6         6         2         6        10         3         9        10         6         2         3         9         7         1         6         1
Vardas420             Pavarde420                      4         4         2        10         2         8         2        10         8         6         6         9         8         8         2         2         3         8         8         5        10
Vardas421             Pavarde421                      3         5         4         6         9        10         8         6         6         1         6         6         8        10         7        10         9         1         4         1         6
Vardas422             Pavarde422                      2         6         6         6         6         2         7         7         4         9         3         8         5         2        10        10         6         6         9         1         8
Vardas423             Pavarde423                      3         7         2        10         8         6         5         9         8         4        10        10        10         5        10         2         2         4         7        10         4
Vardas424             Pavarde424                     10        10         2         8         4         7         6         9         1         3         7         9         2         6        10         6         5         3         7         4        10
Vardas425             Pavarde425                      3         6         7        10         4         8         6         3         7         2         6         4         4         3         1         3        10        10         3         9         8
Vardas426             Pavarde426                      5         7         2         2         9         8         6         6         8        10         5         7         7         3         1         8         6         9         4         9         3
Vardas427             Pavarde427                      5         1         7        10        10         4         1         4         3         9         9         9         8         3         1        10         9         8         3        10         4
Vardas428             Pavarde428                      2         7         7         8         7         2         5        10         8        10         6         7         4         4         4         9         4         4         2         5         1
Vardas429             Pavarde429                      8         3         1         6         5         5         3         8         6         2         4         1        10         7         4         9         3         7         3         7         9
Vardas430             Pavarde430                      7         9        10         5         4         7         4        10         1        10         2         2         6         9        10         1        10        10         4         5         4
Vardas431             Pavarde431                     10         3         4         2         1         3         7         1         1         5         9         6         1         4         9         1         7         8         9         9         2
Vardas432             Pavarde432                      6         9         3         4         6         8         3         2         2         7         9         8         5         3         8         4         9         2         5         7        10
Vardas433             Pavarde433                      6         9        10        10         6         3         2         3         1         1         7         5         1         2         8         2         8         8         4         4         7
Vardas434             Pavarde434                      4         3         5         3         8         4         2         1         2         7         2         3         5         1        10         5         3         6         9         1         8
Vardas435             Pavarde435                      1         1         5         2         4         7         4         3        10         9         4         5         2         3         3         9         3         7         7         7         1
Vardas436             Pavarde436                      7         1         6         3         9        10         5         8         7        10         5        10         5         2         9         3        10         9         1         1         7
Vardas437             Pavarde437                      5        10         1         6         6         3        10         2         2         6         6         5         1         9         3         9         6         5         6         2         9
Vardas438             Pavarde438                      9        10         4         3         7         4         3         1         9         7         3         4         6         5         9         6         9         5         9         9        10
Vardas439             Pavarde439                      7         2         3         5         5         9         4         1         2         8         9         7         7         1         5         8         2         8         6         3         1
Vardas440             Pavarde440                      5         6         6         2         8         2         7         5         9         2         6         8         9         4         9         5         9         6         2         9         1
Vardas441             Pavarde441                      8         3         8         1         4        10         2         8         5         2         4        10        10         2         1         4         9         2         2         2         4
Vardas442             Pavarde442                      7         6         4         3         5         5         2         4         7         8         5         4        10         8         1         9         9         6         6         8         9
Vardas443             Pavarde443                      5         9        10         7         7         2         7         8         8         2         4         8         5         6         4         4         8         8         6        10         4
Vardas444             Pavarde444                     10         3         5         3         2         9         8         2         1         4         5         2         2         7         7         7         2         4         7         3         2
Vardas445             Pavarde445                      1         2         5         3         1         5        10         6        10         7         7         5         7         2         7         9         8         7         5         5         3
